TimeStamp;Частота вращения РНД (Расчетная);0 - Bad, 1 - Good, 2 - Potential
12:10:00.001;4052.99;1
12:10:00.024;4053.21;1
12:10:00.046;4053.21;1
12:10:00.068;4053.08;1
12:10:00.091;4053.08;1
12:10:00.114;4054.09;1
12:10:00.140;4053.86;1
12:10:00.162;4053.27;1
12:10:00.183;4055.18;1
12:10:00.206;4053.18;1
12:10:00.229;4053.18;1
12:10:00.253;4053.97;1
12:10:00.277;4052.92;1
12:10:00.298;4053.11;1
12:10:00.322;4054.47;1
12:10:00.344;4054.98;1
12:10:00.369;4056.89;1
12:10:00.391;4052.77;1
12:10:00.414;4052.77;1
12:10:00.437;4054.32;1
12:10:00.459;4055.32;1
12:10:00.487;4054.35;1
12:10:00.508;4052.1;1
12:10:00.528;4054.49;1
12:10:00.552;4054.75;1
12:10:00.575;4055.13;1
12:10:00.597;4055.13;1
12:10:00.620;4053.96;1
12:10:00.643;4053.86;1
12:10:00.669;4053.61;1
12:10:00.689;4052.84;1
12:10:00.712;4053.41;1
12:10:00.735;4054.16;1
12:10:00.758;4054.16;1
12:10:00.781;4053.64;1
12:10:00.807;4054.45;1
12:10:00.829;4053.89;1
12:10:00.852;4053.66;1
12:10:00.874;4053.84;1
12:10:00.896;4053.84;1
12:10:00.919;4053.19;1
12:10:00.942;4054.09;1
12:10:00.968;4053.71;1
12:10:00.988;4054.57;1
12:10:01.011;4054.16;1
12:10:01.034;4054.14;1
12:10:01.057;4054.14;1
12:10:01.080;4054.65;1
12:10:01.106;4054.35;1
12:10:01.127;4054.22;1
12:10:01.150;4055.49;1
12:10:01.174;4055.49;1
12:10:01.195;4054.08;1
12:10:01.218;4055.07;1
12:10:01.241;4054.26;1
12:10:01.267;4053.62;1
12:10:01.287;4054.37;1
12:10:01.310;4053.98;1
12:10:01.333;4053.98;1
12:10:01.356;4055.93;1
12:10:01.380;4055.93;1
12:10:01.402;4055.66;1
12:10:01.425;4055.46;1
12:10:01.448;4056.09;1
12:10:01.471;4054.73;1
12:10:01.494;4054.83;1
12:10:01.517;4054.83;1
12:10:01.540;4054.83;1
12:10:01.563;4055.25;1
12:10:01.587;4054.19;1
12:10:01.610;4055.11;1
12:10:01.633;4054.5;1
12:10:01.657;4054.81;1
12:10:01.680;4055.37;1
12:10:01.702;4055.37;1
12:10:01.725;4055.05;1
12:10:01.748;4055.84;1
12:10:01.772;4056.5;1
12:10:01.793;4054.68;1
12:10:01.817;4054.8;1
12:10:01.840;4055.05;1
12:10:01.863;4052.5;1
12:10:01.889;4052.5;1
12:10:01.910;4054.93;1
12:10:01.932;4054.28;1
12:10:01.956;4054.87;1
12:10:01.978;4054.8;1
12:10:02.001;4054.89;1
12:10:02.026;4054.89;1
12:10:02.047;4054.26;1
12:10:02.069;4054.87;1
12:10:02.092;4055.3;1
12:10:02.116;4055.62;1
12:10:02.140;4055.15;1
12:10:02.161;4054.55;1
12:10:02.184;4054.1;1
12:10:02.208;4054.1;1
12:10:02.231;4055.41;1
12:10:02.254;4054.56;1
12:10:02.278;4054.42;1
