TimeStamp;Частота вращения РСТ (Расчетная);0 - Bad, 1 - Good, 2 - Potential
12:10:00.001;1490.43;1
12:10:00.024;1490.4;1
12:10:00.046;1490.4;1
12:10:00.068;1490.34;1
12:10:00.091;1490.34;1
12:10:00.114;1490.33;1
12:10:00.140;1490.29;1
12:10:00.162;1490.28;1
12:10:00.183;1490.27;1
12:10:00.206;1490.26;1
12:10:00.229;1490.26;1
12:10:00.253;1490.24;1
12:10:00.277;1490.24;1
12:10:00.298;1490.21;1
12:10:00.322;1490.21;1
12:10:00.344;1490.19;1
12:10:00.369;1490.18;1
12:10:00.391;1490.17;1
12:10:00.414;1490.17;1
12:10:00.437;1490.15;1
12:10:00.459;1490.15;1
12:10:00.487;1490.14;1
12:10:00.508;1490.13;1
12:10:00.528;1490.13;1
12:10:00.552;1490.14;1
12:10:00.575;1490.13;1
12:10:00.597;1490.13;1
12:10:00.620;1490.14;1
12:10:00.643;1490.15;1
12:10:00.669;1490.17;1
12:10:00.689;1490.2;1
12:10:00.712;1490.24;1
12:10:00.735;1490.27;1
12:10:00.758;1490.27;1
12:10:00.781;1490.29;1
12:10:00.807;1490.37;1
12:10:00.829;1490.39;1
12:10:00.852;1490.42;1
12:10:00.874;1490.43;1
12:10:00.896;1490.43;1
12:10:00.919;1490.45;1
12:10:00.942;1490.47;1
12:10:00.968;1490.48;1
12:10:00.988;1490.49;1
12:10:01.011;1490.49;1
12:10:01.034;1490.51;1
12:10:01.057;1490.51;1
12:10:01.080;1490.53;1
12:10:01.106;1490.55;1
12:10:01.127;1490.57;1
12:10:01.150;1490.59;1
12:10:01.174;1490.59;1
12:10:01.195;1490.63;1
12:10:01.218;1490.65;1
12:10:01.241;1490.68;1
12:10:01.267;1490.74;1
12:10:01.287;1490.78;1
12:10:01.310;1490.83;1
12:10:01.333;1490.83;1
12:10:01.356;1490.91;1
12:10:01.380;1490.91;1
12:10:01.402;1490.92;1
12:10:01.425;1490.94;1
12:10:01.448;1490.95;1
12:10:01.471;1490.94;1
12:10:01.494;1490.92;1
12:10:01.517;1490.92;1
12:10:01.540;1490.92;1
12:10:01.563;1490.92;1
12:10:01.587;1490.9;1
12:10:01.610;1490.9;1
12:10:01.633;1490.9;1
12:10:01.657;1490.91;1
12:10:01.680;1490.92;1
12:10:01.702;1490.92;1
12:10:01.725;1490.93;1
12:10:01.748;1490.94;1
12:10:01.772;1490.96;1
12:10:01.793;1490.99;1
12:10:01.817;1491.03;1
12:10:01.840;1491.07;1
12:10:01.863;1491.12;1
12:10:01.889;1491.12;1
12:10:01.910;1491.17;1
12:10:01.932;1491.22;1
12:10:01.956;1491.28;1
12:10:01.978;1491.34;1
12:10:02.001;1491.37;1
12:10:02.026;1491.37;1
12:10:02.047;1491.42;1
12:10:02.069;1491.46;1
12:10:02.092;1491.51;1
12:10:02.116;1491.54;1
12:10:02.140;1491.57;1
12:10:02.161;1491.6;1
12:10:02.184;1491.62;1
12:10:02.208;1491.62;1
12:10:02.231;1491.64;1
12:10:02.254;1491.65;1
12:10:02.278;1491.67;1
12:10:02.301;1491.68;1
12:10:02.325;1491.7;1
12:10:02.345;1491.71;1
12:10:02.368;1491.74;1
12:10:02.392;1491.74;1
12:10:02.415;1491.76;1
12:10:02.437;1491.8;1
12:10:02.463;1491.82;1
12:10:02.487;1491.86;1
12:10:02.508;1491.9;1
12:10:02.529;1491.9;1
12:10:02.553;1491.94;1
12:10:02.576;1491.96;1
12:10:02.598;1492.01;1
12:10:02.621;1492.02;1
12:10:02.644;1492.05;1
